building,apartment,apartment_id,floor,type,profile_key,segment,rooms,area_m2,balcony_m2,balcony_count,yard,directions,park_view,net_price_ils,total_cost_indexed_ils,plan_score,plan_tier,plan_adjustment_pct,location_score,location_adjustment_pct,total_quality_adjustment_pct,quality_rank_within_segment,quality_tier_within_segment,analysis_confidence,plan_summary,dimensions,outdoor_notes,orientation_note,floor_note,micro_location_note,unit_strengths,unit_risks,verification_needed,plan_image_path
1,2,1-2,1,1A,1A,3 חדרים גדולה,3,87.77,21.67,2,False,מערב - צפון,none,1371044,1432443,82,B+,0.4,58.6,-2.41,-2.01,13,C – חלשה יחסית בסגמנט,בינונית-גבוהה,"דירת 3 חדרים גדולה ונוחה מאוד, עם חלל ציבורי נדיב ושני חדרים בגודל מלא. חלק מהשטח החיצוני מפוצל ומרפסת הסלון צרה, ולכן השטח הרשום הגבוה אינו כולו שווה באותה מידה לקונה.",חלל ציבורי פתוח ברוחב עד כ־5.76 מ׳; חדרים כ־2.92×3.47 מ׳ וכ־3.29×3.76 מ׳; מרפסת סלון כ־6.36×1.59 מ׳; מרפסת מעוגלת נוספת כ־9.8 מ״ר.,"סה״כ 21.67 מ״ר בשתי מרפסות. מרפסת הסלון ארוכה וצרה; המרפסת המעוגלת עמוקה יותר אך מחוברת לחדר שינה. יש ערך ייחודי, אך פחות ממשטח חוץ אחד גדול ושימושי.","קרירה ומוצלת יותר, אך עלולה להיות חשוכה יחסית בחלק מהיום","קומה נמוכה: פרטיות מופחתת, יותר רעש ומיסוך עצים/גינון; מעל קומת הכניסה אך עדיין קרובה לקרקע.",החזית המערבית פונה לרחוב; הצפון פונה לכיוון בניין 3 והמרחב הפנימי. אין נוף פארק. יחידות נמוכות חשופות יותר לכביש ולחזיתות סמוכות.,ללא יתרון יחידה ייחודי מעבר לטיפוס ולמיקום הכללי,"קומה 1 רגישה יותר לרעש, מבטים מהקרקע ומיסוך צמחייה | חשיפה לרחוב היקפי/ראשי; יש לבצע בדיקת רעש בשעות עומס | אחד הכיוונים פונה לאזור גן הילדים/המרחב הציבורי; רעש יום רלוונטי בעיקר בקומות נמוכות","תוכנית מכר חתומה ומידות נקיות סופיות | שיוך ומאפייני חניה ומחסן | מיקום חדר אשפה, מערכות, מעליות ופירים ביחס לדירה | בדיקת sightline בפועל/מודל תלת־ממד לפי הקומה | בדיקת רעש בשטח ובשעות פעילות",app/public/plans/apt_b1_2.png
1,3,1-3,1,1B,1B,4 חדרים,4,107.95,11.88,1,False,מזרח - צפון,partial,1676693,1751779,79,B-,-0.2,58.2,-2.48,-2.68,39,C – חלשה יחסית בסגמנט,בינונית,"תוכנית משפחתית טובה ומרווחת, עם חדר הורים נדיב ומערך שירות מלא. החלל הציבורי ארוך והמרפסת צרה; חדר אחד קומפקטי והזרימה פחות טבעית מהטיפוסים המובילים.",חלל ציבורי באורך כ־7.2 מ׳ וברוחב שימושי סביב 4.06 מ׳; הורים כ־4.43×2.95 מ׳; חדר נוסף כ־3.00×3.15 מ׳; ממ״ד כ־3.76×3.00 מ׳; מרפסת כ־6.35×1.59 מ׳.,"11.88 מ״ר רשומים, אך עומק של כ־1.59 מ׳. מתאימה לישיבה לאורך המרפסת; פחות נוחה לשולחן משפחתי רחב.",אור בוקר וטמפרטורה מתונה יחסית; פחות שמש דרומית,"קומה נמוכה: פרטיות מופחתת, יותר רעש ומיסוך עצים/גינון; מעל קומת הכניסה אך עדיין קרובה לקרקע.",המזרח פונה דרך המתחם לכיוון בניין 2 ולכן אינו קו נוף פארק ישיר. הכיוון הצפוני פונה לאזור גן הילדים/המרחב הפנימי; בקומות נמוכות צפויים יותר רעש יום ופרטיות מופחתת.,ללא יתרון יחידה ייחודי מעבר לטיפוס ולמיקום הכללי,"הפתיחות המזרחית חלקית בלבד בגלל מבני הפרויקט שממול; אין לתמחר כנוף פארק מלא | קומה 1 רגישה יותר לרעש, מבטים מהקרקע ומיסוך צמחייה | אחד הכיוונים פונה לאזור גן הילדים/המרחב הציבורי; רעש יום רלוונטי בעיקר בקומות נמוכות","תוכנית מכר חתומה ומידות נקיות סופיות | שיוך ומאפייני חניה ומחסן | מיקום חדר אשפה, מערכות, מעליות ופירים ביחס לדירה | בדיקת sightline בפועל/מודל תלת־ממד לפי הקומה | בדיקת רעש בשטח ובשעות פעילות | מרחק מדויק וחלונות נגדיים בבניין 2/3",app/public/plans/apt_b1_3.png
1,4,1-4,1,1C,1C,3 חדרים קומפקטית,3,79.72,13.6,1,False,מזרח - דרום,partial,1188348,1241566,81,B,0.2,61.6,-1.87,-1.67,24,C – חלשה יחסית בסגמנט,בינונית,"אחת מתוכניות ה־3 חדרים היעילות ביותר: כמעט כל השטח עובד, המרפסת עמוקה ומרובעת, ושני החדרים בגודל סביר. המטבח קומפקטי ואין סוויטת הורים.","חלל ציבורי ברוחב כולל כ־5.83 מ׳; חדרים כ־2.95×3.98 מ׳ וכ־3.54×2.95 מ׳; מרפסת כ־13.6 מ״ר, בעומק קרוב ל־4 מ׳.","מרפסת כ־13.6 מ״ר בעלת פרופורציות עמוקות ומרובעות יחסית — שימושית לאוכל, אירוח ופינת ישיבה.","אור בוקר ודרום; איזון טוב יחסית, בכפוף להצללה בפועל","קומה נמוכה: פרטיות מופחתת, יותר רעש ומיסוך עצים/גינון; מעל קומת הכניסה אך עדיין קרובה לקרקע.","חזית מזרחית-דרומית, אך המזרח מוסתר חלקית על ידי בניין 2. הדרום פונה לרחוב; בקומות נמוכות יש שילוב של כביש וקרבה למתחם.",ללא יתרון יחידה ייחודי מעבר לטיפוס ולמיקום הכללי,"הפתיחות המזרחית חלקית בלבד בגלל מבני הפרויקט שממול; אין לתמחר כנוף פארק מלא | קומה 1 רגישה יותר לרעש, מבטים מהקרקע ומיסוך צמחייה","תוכנית מכר חתומה ומידות נקיות סופיות | שיוך ומאפייני חניה ומחסן | מיקום חדר אשפה, מערכות, מעליות ופירים ביחס לדירה | בדיקת sightline בפועל/מודל תלת־ממד לפי הקומה | בדיקת רעש בשטח ובשעות פעילות | מרחק מדויק וחלונות נגדיים בבניין 2/3",app/public/plans/apt_b1_4.png
1,5,1-5,1,1D,1D,3 חדרים קומפקטית,3,78.78,7.4,1,False,דרום,none,1148642,1200081,83,B+,0.6,62.8,-1.66,-1.06,19,C – חלשה יחסית בסגמנט,בינונית-גבוהה,"תוכנית פנימית יעילה ומאוזנת מאוד. בניגוד להערכה הקודמת, המטבח והחלל הציבורי אינם חלשים; החיסרון המרכזי הוא כמות שטח החוץ, לא איכות התכנון הפנימי.","חלל ציבורי כ־5.70×5.38 מ׳; חדרים כ־2.95×3.96 מ׳ וכ־2.89×3.42 מ׳; מרפסת כ־7.4 מ״ר, ברוחב כ־2.4 מ׳ ובצורה מלבנית.","7.4 מ״ר בלבד, אך הצורה מלבנית ועומק של כ־2.4 מ׳ הופכים אותה לשימושית יותר ממרפסת ארוכה וצרה באותו שטח.",אור יום חזק; יש לבדוק הצללה ועומס חום,"קומה נמוכה: פרטיות מופחתת, יותר רעש ומיסוך עצים/גינון; מעל קומת הכניסה אך עדיין קרובה לקרקע.","פונה דרומה לרחוב ההיקפי. אין חזית בניין קרובה ישירות, אך רעש תנועה והולכי רגל משמעותי יותר בקומות הנמוכות.",ללא יתרון יחידה ייחודי מעבר לטיפוס ולמיקום הכללי,"קומה 1 רגישה יותר לרעש, מבטים מהקרקע ומיסוך צמחייה | חשיפה לרחוב היקפי/ראשי; יש לבצע בדיקת רעש בשעות עומס","תוכנית מכר חתומה ומידות נקיות סופיות | שיוך ומאפייני חניה ומחסן | מיקום חדר אשפה, מערכות, מעליות ופירים ביחס לדירה | בדיקת sightline בפועל/מודל תלת־ממד לפי הקומה | בדיקת רעש בשטח ובשעות פעילות",app/public/plans/apt_b1_5.png
1,6,1-6,1,1E,1E,4 חדרים,4,109.6,13.01,1,False,מערב - דרום,none,1711950,1788615,83,B+,0.6,61.4,-1.91,-1.31,34,C – חלשה יחסית בסגמנט,בינונית-גבוהה,"דירת 4 חדרים עם חלל ציבורי מצוין, מטבח גדול ומרפסת עמוקה. חדר ההורים טוב, אך שני חדרים משניים קומפקטיים ואחד מהם מופרד מהאגף העיקרי.",סלון כ־5.01×4.02 מ׳; מטבח כ־3.21×4.86 מ׳; מרפסת 13.01 מ״ר בעומק של כ־3 מ׳; חדר הורים ברוחב כ־2.95 מ׳ ובאורך קרוב ל־4.95 מ׳; חדרים משניים סביב 9.2–9.8 מ״ר.,"מרפסת 13 מ״ר עמוקה ומלבנית יחסית, עם יכולת אמיתית לאירוח ושולחן אוכל.","אור חזק ושקיעות, אך עומס חום אחר הצהריים","קומה נמוכה: פרטיות מופחתת, יותר רעש ומיסוך עצים/גינון; מעל קומת הכניסה אך עדיין קרובה לקרקע.","פינת דרום-מערב מול רחובות היקפיים. פתיחות עירונית סבירה, אך תנועה ועומס חום מערבי; בקומות גבוהות הפתיחות משתפרת.",ללא יתרון יחידה ייחודי מעבר לטיפוס ולמיקום הכללי,"קומה 1 רגישה יותר לרעש, מבטים מהקרקע ומיסוך צמחייה | חשיפה לרחוב היקפי/ראשי; יש לבצע בדיקת רעש בשעות עומס","תוכנית מכר חתומה ומידות נקיות סופיות | שיוך ומאפייני חניה ומחסן | מיקום חדר אשפה, מערכות, מעליות ופירים ביחס לדירה | בדיקת sightline בפועל/מודל תלת־ממד לפי הקומה | בדיקת רעש בשטח ובשעות פעילות",app/public/plans/apt_b1_6.png
1,7,1-7,2,1A,1A,3 חדרים גדולה,3,87.77,21.67,2,False,מערב - צפון,none,1371044,1432443,82,B+,0.4,63.2,-1.58,-1.18,12,C – חלשה יחסית בסגמנט,בינונית-גבוהה,"דירת 3 חדרים גדולה ונוחה מאוד, עם חלל ציבורי נדיב ושני חדרים בגודל מלא. חלק מהשטח החיצוני מפוצל ומרפסת הסלון צרה, ולכן השטח הרשום הגבוה אינו כולו שווה באותה מידה לקונה.",חלל ציבורי פתוח ברוחב עד כ־5.76 מ׳; חדרים כ־2.92×3.47 מ׳ וכ־3.29×3.76 מ׳; מרפסת סלון כ־6.36×1.59 מ׳; מרפסת מעוגלת נוספת כ־9.8 מ״ר.,"סה״כ 21.67 מ״ר בשתי מרפסות. מרפסת הסלון ארוכה וצרה; המרפסת המעוגלת עמוקה יותר אך מחוברת לחדר שינה. יש ערך ייחודי, אך פחות ממשטח חוץ אחד גדול ושימושי.","קרירה ומוצלת יותר, אך עלולה להיות חשוכה יחסית בחלק מהיום","קומה נמוכה-בינונית: שיפור ביחס לקומה 1, אך עדיין רגישה לרעש, פרטיות ועצים.",החזית המערבית פונה לרחוב; הצפון פונה לכיוון בניין 3 והמרחב הפנימי. אין נוף פארק. יחידות נמוכות חשופות יותר לכביש ולחזיתות סמוכות.,ללא יתרון יחידה ייחודי מעבר לטיפוס ולמיקום הכללי,"קומה 2 עדיין נמוכה יחסית, אך עדיפה משמעותית על קומה 1 בפרטיות | חשיפה לרחוב היקפי/ראשי; יש לבצע בדיקת רעש בשעות עומס | אחד הכיוונים פונה לאזור גן הילדים/המרחב הציבורי; רעש יום רלוונטי בעיקר בקומות נמוכות","תוכנית מכר חתומה ומידות נקיות סופיות | שיוך ומאפייני חניה ומחסן | מיקום חדר אשפה, מערכות, מעליות ופירים ביחס לדירה | בדיקת sightline בפועל/מודל תלת־ממד לפי הקומה | בדיקת רעש בשטח ובשעות פעילות",app/public/plans/apt_b1_7.png
1,8,1-8,2,1B,1B,4 חדרים,4,107.95,11.88,1,False,מזרח - צפון,partial,1676693,1751779,79,B-,-0.2,62.4,-1.73,-1.93,38,C – חלשה יחסית בסגמנט,בינונית,"תוכנית משפחתית טובה ומרווחת, עם חדר הורים נדיב ומערך שירות מלא. החלל הציבורי ארוך והמרפסת צרה; חדר אחד קומפקטי והזרימה פחות טבעית מהטיפוסים המובילים.",חלל ציבורי באורך כ־7.2 מ׳ וברוחב שימושי סביב 4.06 מ׳; הורים כ־4.43×2.95 מ׳; חדר נוסף כ־3.00×3.15 מ׳; ממ״ד כ־3.76×3.00 מ׳; מרפסת כ־6.35×1.59 מ׳.,"11.88 מ״ר רשומים, אך עומק של כ־1.59 מ׳. מתאימה לישיבה לאורך המרפסת; פחות נוחה לשולחן משפחתי רחב.",אור בוקר וטמפרטורה מתונה יחסית; פחות שמש דרומית,"קומה נמוכה-בינונית: שיפור ביחס לקומה 1, אך עדיין רגישה לרעש, פרטיות ועצים.",המזרח פונה דרך המתחם לכיוון בניין 2 ולכן אינו קו נוף פארק ישיר. הכיוון הצפוני פונה לאזור גן הילדים/המרחב הפנימי; בקומות נמוכות צפויים יותר רעש יום ופרטיות מופחתת.,ללא יתרון יחידה ייחודי מעבר לטיפוס ולמיקום הכללי,"הפתיחות המזרחית חלקית בלבד בגלל מבני הפרויקט שממול; אין לתמחר כנוף פארק מלא | קומה 2 עדיין נמוכה יחסית, אך עדיפה משמעותית על קומה 1 בפרטיות | אחד הכיוונים פונה לאזור גן הילדים/המרחב הציבורי; רעש יום רלוונטי בעיקר בקומות נמוכות","תוכנית מכר חתומה ומידות נקיות סופיות | שיוך ומאפייני חניה ומחסן | מיקום חדר אשפה, מערכות, מעליות ופירים ביחס לדירה | בדיקת sightline בפועל/מודל תלת־ממד לפי הקומה | בדיקת רעש בשטח ובשעות פעילות | מרחק מדויק וחלונות נגדיים בבניין 2/3",app/public/plans/apt_b1_8.png
1,9,1-9,2,1C,1C,3 חדרים קומפקטית,3,79.72,13.6,1,False,מזרח - דרום,partial,1188348,1241566,81,B,0.2,65.6,-1.15,-0.95,18,B – טובה/ממוצעת בסגמנט,בינונית,"אחת מתוכניות ה־3 חדרים היעילות ביותר: כמעט כל השטח עובד, המרפסת עמוקה ומרובעת, ושני החדרים בגודל סביר. המטבח קומפקטי ואין סוויטת הורים.","חלל ציבורי ברוחב כולל כ־5.83 מ׳; חדרים כ־2.95×3.98 מ׳ וכ־3.54×2.95 מ׳; מרפסת כ־13.6 מ״ר, בעומק קרוב ל־4 מ׳.","מרפסת כ־13.6 מ״ר בעלת פרופורציות עמוקות ומרובעות יחסית — שימושית לאוכל, אירוח ופינת ישיבה.","אור בוקר ודרום; איזון טוב יחסית, בכפוף להצללה בפועל","קומה נמוכה-בינונית: שיפור ביחס לקומה 1, אך עדיין רגישה לרעש, פרטיות ועצים.","חזית מזרחית-דרומית, אך המזרח מוסתר חלקית על ידי בניין 2. הדרום פונה לרחוב; בקומות נמוכות יש שילוב של כביש וקרבה למתחם.",ללא יתרון יחידה ייחודי מעבר לטיפוס ולמיקום הכללי,"הפתיחות המזרחית חלקית בלבד בגלל מבני הפרויקט שממול; אין לתמחר כנוף פארק מלא | קומה 2 עדיין נמוכה יחסית, אך עדיפה משמעותית על קומה 1 בפרטיות","תוכנית מכר חתומה ומידות נקיות סופיות | שיוך ומאפייני חניה ומחסן | מיקום חדר אשפה, מערכות, מעליות ופירים ביחס לדירה | בדיקת sightline בפועל/מודל תלת־ממד לפי הקומה | בדיקת רעש בשטח ובשעות פעילות | מרחק מדויק וחלונות נגדיים בבניין 2/3",app/public/plans/apt_b1_9.png
1,10,1-10,2,1D,1D,3 חדרים קומפקטית,3,78.78,7.4,1,False,דרום,none,1148642,1200081,83,B+,0.6,67.6,-0.79,-0.19,12,B – טובה/ממוצעת בסגמנט,בינונית-גבוהה,"תוכנית פנימית יעילה ומאוזנת מאוד. בניגוד להערכה הקודמת, המטבח והחלל הציבורי אינם חלשים; החיסרון המרכזי הוא כמות שטח החוץ, לא איכות התכנון הפנימי.","חלל ציבורי כ־5.70×5.38 מ׳; חדרים כ־2.95×3.96 מ׳ וכ־2.89×3.42 מ׳; מרפסת כ־7.4 מ״ר, ברוחב כ־2.4 מ׳ ובצורה מלבנית.","7.4 מ״ר בלבד, אך הצורה מלבנית ועומק של כ־2.4 מ׳ הופכים אותה לשימושית יותר ממרפסת ארוכה וצרה באותו שטח.",אור יום חזק; יש לבדוק הצללה ועומס חום,"קומה נמוכה-בינונית: שיפור ביחס לקומה 1, אך עדיין רגישה לרעש, פרטיות ועצים.","פונה דרומה לרחוב ההיקפי. אין חזית בניין קרובה ישירות, אך רעש תנועה והולכי רגל משמעותי יותר בקומות הנמוכות.",ללא יתרון יחידה ייחודי מעבר לטיפוס ולמיקום הכללי,"קומה 2 עדיין נמוכה יחסית, אך עדיפה משמעותית על קומה 1 בפרטיות | חשיפה לרחוב היקפי/ראשי; יש לבצע בדיקת רעש בשעות עומס","תוכנית מכר חתומה ומידות נקיות סופיות | שיוך ומאפייני חניה ומחסן | מיקום חדר אשפה, מערכות, מעליות ופירים ביחס לדירה | בדיקת sightline בפועל/מודל תלת־ממד לפי הקומה | בדיקת רעש בשטח ובשעות פעילות",app/public/plans/apt_b1_10.png
1,11,1-11,2,1E,1E,4 חדרים,4,109.6,13.01,1,False,מערב - דרום,none,1711950,1788615,83,B+,0.6,66.2,-1.04,-0.44,30,C – חלשה יחסית בסגמנט,בינונית-גבוהה,"דירת 4 חדרים עם חלל ציבורי מצוין, מטבח גדול ומרפסת עמוקה. חדר ההורים טוב, אך שני חדרים משניים קומפקטיים ואחד מהם מופרד מהאגף העיקרי.",סלון כ־5.01×4.02 מ׳; מטבח כ־3.21×4.86 מ׳; מרפסת 13.01 מ״ר בעומק של כ־3 מ׳; חדר הורים ברוחב כ־2.95 מ׳ ובאורך קרוב ל־4.95 מ׳; חדרים משניים סביב 9.2–9.8 מ״ר.,"מרפסת 13 מ״ר עמוקה ומלבנית יחסית, עם יכולת אמיתית לאירוח ושולחן אוכל.","אור חזק ושקיעות, אך עומס חום אחר הצהריים","קומה נמוכה-בינונית: שיפור ביחס לקומה 1, אך עדיין רגישה לרעש, פרטיות ועצים.","פינת דרום-מערב מול רחובות היקפיים. פתיחות עירונית סבירה, אך תנועה ועומס חום מערבי; בקומות גבוהות הפתיחות משתפרת.",ללא יתרון יחידה ייחודי מעבר לטיפוס ולמיקום הכללי,"קומה 2 עדיין נמוכה יחסית, אך עדיפה משמעותית על קומה 1 בפרטיות | חשיפה לרחוב היקפי/ראשי; יש לבצע בדיקת רעש בשעות עומס","תוכנית מכר חתומה ומידות נקיות סופיות | שיוך ומאפייני חניה ומחסן | מיקום חדר אשפה, מערכות, מעליות ופירים ביחס לדירה | בדיקת sightline בפועל/מודל תלת־ממד לפי הקומה | בדיקת רעש בשטח ובשעות פעילות",app/public/plans/apt_b1_11.png
