apartment_id,building,apartment,floor,type,profile_key,segment,rooms,area_m2,balcony_m2,directions,park_view,market_balcony_coef,effective_market_area_m2,current_segment_rate_ils,current_unadjusted_value_ils,quality_adjustment_pct,current_market_value_ils,sale_value_low_ils,sale_value_base_ils,sale_value_high_ils,net_contract_price_ils,estimated_index_addition_ils,estimated_total_cost_ils,profit_low_ils,profit_base_ils,profit_high_ils,roi_base_pct,analysis_confidence,rank_low,rank_base,rank_high,best_rank,worst_rank,rank_spread,priority_group
2-18,2,18,4,2C,2C,4 חדרים,4,109.61,12.91,מזרח - דרום,full,0.55,116.71,27500,3209539,3.86,3333427,2975781,3525601,4154649,1711595,37913,1749508,1226273,1776093,2405141,101.5,בינונית,1,1,1,1,1,0,A
2-13,2,13,3,2C,2C,4 חדרים,4,109.62,12.91,מזרח - דרום,full,0.55,116.72,27500,3209814,3.14,3310602,2954896,3501460,4126878,1711772,37917,1749689,1205207,1751771,2377189,100.1,בינונית,2,2,2,2,2,0,A
3-31,3,31,6,3C,3C,4 חדרים,4,109.01,14.0,מזרח - דרום,full,0.36,114.05,27500,3136375,4.92,3290685,2938357,3480394,4100403,1706756,37806,1744562,1193795,1735833,2355841,99.5,בינונית,3,3,3,3,3,0,A
3-26,3,26,5,3C,3C,4 חדרים,4,109.01,14.0,מזרח - דרום,full,0.36,114.05,27500,3136375,4.63,3281589,2930037,3470775,4089333,1706756,37806,1744562,1185475,1726213,2344771,98.9,בינונית,4,4,4,4,4,0,A
2-8,2,8,2,2C,2C,4 חדרים,4,109.62,12.91,מזרח - דרום,full,0.55,116.72,27500,3209814,2.16,3279146,2926122,3468190,4088594,1711772,37917,1749689,1176433,1718501,2338905,98.2,בינונית,6,5,5,5,6,1,A
3-21,3,21,4,3C,3C,4 חדרים,4,109.01,14.0,מזרח - דרום,full,0.36,114.05,27500,3136375,4.16,3266848,2916553,3455184,4071392,1706756,37806,1744562,1171991,1710622,2326830,98.1,בינונית,7,6,6,6,7,1,A
3-27,3,27,5,3D,3D,4 חדרים,4,109.52,12.91,מערב - דרום,none,0.55,116.62,27500,3207064,1.41,3252283,2930949,3439779,4016785,1710000,37878,1747878,1183072,1691902,2268907,96.8,בינונית-גבוהה,5,7,11,5,11,6,A
3-30,3,30,6,3B,3B,4 חדרים,4,107.43,14.0,מזרח - צפון,full,0.36,112.47,27500,3092925,4.16,3221591,2876148,3407317,4014989,1678749,37185,1715934,1160214,1691383,2299054,98.6,בינונית,10,8,8,8,10,2,A
3-16,3,16,3,3C,3C,4 חדרים,4,109.01,14.0,מזרח - דרום,full,0.36,114.05,27500,3136375,3.44,3244266,2895897,3431300,4043909,1706756,37806,1744562,1151335,1686738,2299347,96.7,בינונית,12,9,7,7,12,5,A
2-3,2,3,1,2C,2C,4 חדרים,4,109.62,12.91,מזרח - דרום,full,0.55,116.72,27500,3209814,1.05,3243517,2893532,3430507,4045231,1711772,37917,1749689,1143843,1680818,2295542,96.1,בינונית,15,10,9,9,15,6,A
1-26,1,26,5,1E,1E,4 חדרים,4,109.6,13.01,מערב - דרום,none,0.5,116.1,27500,3192887,1.54,3242058,2921790,3428964,4004081,1711950,37921,1749871,1171920,1679094,2254210,96.0,בינונית-גבוהה,8,11,14,8,14,6,B
3-25,3,25,5,3B,3B,4 חדרים,4,107.43,14.0,מזרח - צפון,full,0.36,112.47,27500,3092925,3.76,3209219,2864831,3394232,3999932,1678749,37185,1715934,1148897,1678298,2283997,97.8,בינונית,13,12,10,10,13,3,B
3-22,3,22,4,3D,3D,4 חדרים,4,109.52,12.91,מערב - דרום,none,0.55,116.62,27500,3207064,0.84,3234003,2914228,3420445,3994536,1710000,37878,1747878,1166350,1672567,2246659,95.7,בינונית-גבוהה,9,13,15,9,15,6,B
3-20,3,20,4,3B,3B,4 חדרים,4,107.43,14.0,מזרח - צפון,full,0.36,112.47,27500,3092925,3.19,3191589,2848705,3375586,3978475,1678749,37185,1715934,1132771,1659652,2262541,96.7,בינונית,17,14,13,13,17,4,B
1-21,1,21,4,1E,1E,4 חדרים,4,109.6,13.01,מערב - דרום,none,0.5,116.1,27500,3192887,0.96,3223539,2904851,3409378,3981542,1711950,37921,1749871,1154980,1659507,2231672,94.8,בינונית-גבוהה,11,15,16,11,16,5,B
3-11,3,11,2,3C,3C,4 חדרים,4,109.01,14.0,מזרח - דרום,full,0.36,114.05,27500,3136375,2.54,3216039,2870076,3401445,4009554,1706756,37806,1744562,1125514,1656884,2264992,95.0,בינונית,18,16,12,12,18,6,B
