building,apt,floor,type,rooms,area,balconies,balcony_m2,yard,direction,program,cap
1,1,0,1G,4.0,160.7,0,0,Y,מזרח - דרום,,
1,2,1,1A,3.0,87.77,2,21.67,,מערב - צפון,Y,110
1,3,1,1B,4.0,107.95,1,11.88,,מזרח - צפון,Y,110
1,4,1,1C,3.0,79.72,1,13.6,,מזרח - דרום,Y,80
1,5,1,1D,3.0,78.78,1,7.4,,דרום,Y,80
1,6,1,1E,4.0,109.6,1,13.01,,מערב - דרום,Y,110
1,7,2,1A,3.0,87.77,2,21.67,,מערב - צפון,Y,110
1,8,2,1B,4.0,107.95,1,11.88,,מזרח - צפון,Y,110
1,9,2,1C,3.0,79.72,1,13.6,,מזרח - דרום,Y,80
1,10,2,1D,3.0,78.78,1,7.4,,דרום,Y,80
1,11,2,1E,4.0,109.6,1,13.01,,מערב - דרום,Y,110
1,12,3,1A,3.0,87.77,2,21.67,,מערב - צפון,Y,110
1,13,3,1B,4.0,107.95,1,11.88,,מזרח - צפון,Y,110
1,14,3,1C,3.0,79.72,1,13.6,,מזרח - דרום,Y,80
1,15,3,1D,3.0,78.78,1,7.4,,דרום,Y,80
1,16,3,1E,4.0,109.6,1,13.01,,מערב - דרום,Y,110
1,17,4,1A,3.0,87.77,2,21.67,,מערב - צפון,Y,110
1,18,4,1B,4.0,107.95,1,11.88,,מזרח - צפון,Y,110
1,19,4,1C,3.0,79.72,1,13.6,,מזרח - דרום,Y,80
1,20,4,1D,3.0,78.78,1,7.4,,דרום,Y,80
1,21,4,1E,4.0,109.6,1,13.01,,מערב - דרום,Y,110
1,22,5,1A,3.0,87.77,2,21.67,,מערב - צפון,Y,110
1,23,5,1B,4.0,107.95,1,11.88,,מזרח - צפון,Y,110
1,24,5,1C,3.0,79.72,1,13.6,,מזרח - דרום,Y,80
1,25,5,1D,3.0,78.78,1,7.4,,דרום,Y,80
1,26,5,1E,4.0,109.6,1,13.01,,מערב - דרום,Y,110
1,27,6,1A,3.0,87.77,2,21.67,,מערב - צפון,Y,110
1,28,6,1B,4.0,107.95,1,11.88,,מזרח - צפון,Y,110
1,29,6,1C,3.0,79.72,1,13.6,,מזרח - דרום,Y,80
1,30,6,1D,3.0,78.78,1,7.4,,דרום,Y,80
1,31,6,1E,4.0,109.6,1,13.01,,מערב - דרום,,
1,32,7,1A,3.0,87.77,2,21.67,,מערב - צפון,Y,110
1,33,7,1B,4.0,107.95,1,11.88,,מזרח - צפון,Y,110
1,34,7,1H,5.0,131.06,1,13.63,,מזרח - דרום,,
1,35,7,1I,5.0,143.31,2,17.36,,מערב - דרום,,
1,36,8,1P,4.0,160.46,1,4.46,,מערב - דרום - צפון,,
1,37,8,1P,5.0,158.9,1,4.46,,מזרח - דרום - צפון,,
2,1,1,2A,4.0,107.49,1,11.89,,מערב - צפון,Y,110
2,2,1,2B,3.0,87.66,2,21.75,,מזרח - צפון,Y,110
2,3,1,2C,4.0,109.62,1,12.91,,מזרח - דרום,Y,110
2,4,1,2D,3.0,78.65,1,7.35,,דרום,Y,80
2,5,1,2E,3.0,79.9,1,13.83,,מערב - דרום,Y,80
2,6,2,2A,4.0,107.49,1,11.89,,מערב - צפון,Y,110
2,7,2,2B,3.0,87.66,2,21.75,,מזרח - צפון,Y,110
2,8,2,2C,4.0,109.62,1,12.91,,מזרח - דרום,Y,110
2,9,2,2D,3.0,78.65,1,7.35,,דרום,Y,80
2,10,2,2E,3.0,79.9,1,13.83,,מערב - דרום,Y,80
2,11,3,2A,4.0,107.49,1,11.89,,מערב - צפון,Y,110
2,12,3,2B,3.0,87.66,2,21.75,,מזרח - צפון,Y,110
2,13,3,2C,4.0,109.62,1,12.91,,מזרח - דרום,Y,110
2,14,3,2D,3.0,78.65,1,7.35,,דרום,Y,80
2,15,3,2E,3.0,79.9,1,13.83,,מערב - דרום,Y,80
2,16,4,2A,4.0,107.49,1,11.89,,מערב - צפון,Y,110
2,17,4,2B,3.0,87.66,2,21.75,,מזרח - צפון,Y,110
2,18,4,2C,4.0,109.61,1,12.91,,מזרח - דרום,Y,110
2,19,4,2D,3.0,78.65,1,7.35,,דרום,Y,80
2,20,4,2E,3.0,79.9,1,13.83,,מערב - דרום,Y,80
2,21,5,2A,4.0,107.41,1,11.89,,מערב - צפון,Y,110
2,22,5,2B,3.0,87.66,2,21.75,,מזרח - צפון,Y,110
2,23,5,2F,5.0,143.33,2,17.3,,מזרח - דרום,,
2,24,5,2G,5.0,128.81,1,16.05,Y,מערב - דרום,,
2,25,6,2A,4.0,107.41,1,11.89,,מערב - צפון,Y,110
2,26,6,2B,3.0,87.66,2,21.75,,מזרח - צפון,Y,110
2,27,6,2F,5.0,143.33,2,17.3,,מזרח - דרום,,
2,28,6,2G,5.0,128.81,1,16.05,Y,מערב - דרום,,
2,29,7,2P,5.0,158.91,1,4.42,,מערב - דרום - צפון,,
2,30,7,2P,4.0,161.03,1,4.42,,מזרח - דרום - צפון,,
2,31,8,2P,5.0,158.9,1,4.42,,מערב - דרום - צפון,,
2,32,8,2P,4.0,161.03,1,4.42,,מזרח - דרום - צפון,,
3,1,0,3G,3.0,77.22,0,0,Y,מערב - צפון,Y,80
3,2,0,3G,3.0,76.89,0,0,Y,מערב,Y,80
3,3,0,3G,5.0,111.05,0,0,Y,מערב - דרום,,
3,4,1,3A,3.0,79.97,1,13.5,,מערב - צפון,Y,80
3,5,1,3B,4.0,107.43,1,14.0,,מזרח - צפון,Y,110
3,6,1,3C,4.0,109.01,1,14.0,,מזרח - דרום,Y,110
3,7,1,3D,4.0,109.52,1,12.91,,מערב - דרום,Y,110
3,8,1,3E,3.0,78.68,1,7.37,,מערב,Y,80
3,9,2,3A,3.0,79.97,1,13.5,,מערב - צפון,Y,80
3,10,2,3B,4.0,107.43,1,14.0,,מזרח - צפון,Y,110
3,11,2,3C,4.0,109.01,1,14.0,,מזרח - דרום,Y,110
3,12,2,3D,4.0,109.52,1,12.91,,מערב - דרום,Y,110
3,13,2,3E,3.0,78.68,1,7.37,,מערב,Y,80
3,14,3,3A,3.0,79.97,1,13.5,,מערב - צפון,Y,80
3,15,3,3B,4.0,107.43,1,14.0,,מזרח - צפון,Y,110
3,16,3,3C,4.0,109.01,1,14.0,,מזרח - דרום,Y,110
3,17,3,3D,4.0,109.52,1,12.91,,מערב - דרום,Y,110
3,18,3,3E,3.0,78.68,1,7.37,,מערב,Y,80
3,19,4,3A,3.0,79.97,1,13.5,,מערב - צפון,Y,80
3,20,4,3B,4.0,107.43,1,14.0,,מזרח - צפון,Y,110
3,21,4,3C,4.0,109.01,1,14.0,,מזרח - דרום,Y,110
3,22,4,3D,4.0,109.52,1,12.91,,מערב - דרום,Y,110
3,23,4,3E,3.0,78.68,1,7.37,,מערב,Y,80
3,24,5,3A,3.0,79.97,1,13.5,,מערב - צפון,Y,80
3,25,5,3B,4.0,107.43,1,14.0,,מזרח - צפון,Y,110
3,26,5,3C,4.0,109.01,1,14.0,,מזרח - דרום,Y,110
3,27,5,3D,4.0,109.52,1,12.91,,מערב - דרום,Y,110
3,28,5,3E,3.0,78.68,1,7.37,,מערב,Y,80
3,29,6,3F,5.0,127.67,1,17.22,,מזרח - צפון,,
3,30,6,3B,4.0,107.43,1,14.0,,מזרח - צפון,Y,110
3,31,6,3C,4.0,109.01,1,14.0,,מזרח - דרום,Y,110
3,32,6,3H,5.0,141.28,1,18.01,,מערב - דרום,,
3,33,7,3P,5.0,161.5,0,0,,מערב - מזרח - צפון,,
3,34,7,3P,6.0,170.9,0,0,,מזרח - מערב - דרום,,
3,35,8,3P,5.0,161.5,0,0,,מערב - מזרח - צפון,,
3,36,8,3P,6.0,170.9,0,0,,מזרח - מערב - דרום,,
